cell_id,latitude,longitude,n_trees,AGB_kg,AGB_Mg_ha
c0_10,23.0359356,72.5489647,8,1828.78,45.72
c0_15,23.0368349,72.5489647,16,1456.46,36.412
c0_12,23.0362953,72.5489647,7,1349.7,33.743
c0_22,23.0380939,72.5489647,2,896.92,22.423
c0_18,23.0373745,72.5489647,4,1261.54,31.538
c0_11,23.0361154,72.5489647,16,3163.07,79.077
c0_19,23.0375544,72.5489647,4,719.61,17.99
c0_14,23.036655,72.5489647,15,2011.94,50.299
c0_17,23.0371946,72.5489647,8,4923.64,123.091
c0_13,23.0364752,72.5489647,2,2669.36,66.734
c0_9,23.0357557,72.5489647,3,4384.38,109.61
c0_20,23.0377342,72.5489647,4,1213.43,30.336
c0_16,23.0370148,72.5489647,7,1072.27,26.807
c0_23,23.0382738,72.5489647,2,5795.5,144.888
c0_24,23.0384537,72.5489647,5,1703.7,42.593
c0_25,23.0386335,72.5489647,3,2010.15,50.254
c0_7,23.035396,72.5489647,4,1629.61,40.74
c0_8,23.0355758,72.5489647,4,713.16,17.829
c0_6,23.0352161,72.5489647,1,0.41,0.01
c0_21,23.0379141,72.5489647,3,208.37,5.209
c0_5,23.0350363,72.5489647,1,96.74,2.418
c1_9,23.0357557,72.5491602,29,4517.56,112.939
c1_5,23.0350363,72.5491602,1,84.23,2.106
c1_11,23.0361154,72.5491602,13,1845.04,46.126
c1_19,23.0375544,72.5491602,9,1501.39,37.535
c1_18,23.0373745,72.5491602,2,958.81,23.97
c1_6,23.0352161,72.5491602,6,1066.27,26.657
c1_8,23.0355758,72.5491602,15,1383.71,34.593
c1_12,23.0362953,72.5491602,4,5082.34,127.058
c1_4,23.0348564,72.5491602,6,1808.16,45.204
c1_21,23.0379141,72.5491602,3,244.29,6.107
c1_7,23.035396,72.5491602,6,1044.31,26.108
c1_26,23.0388134,72.5491602,2,2477.05,61.926
c1_22,23.0380939,72.5491602,3,6.73,0.168
c1_10,23.0359356,72.5491602,7,1763.53,44.088
c1_3,23.0346765,72.5491602,5,1541.07,38.527
c1_13,23.0364752,72.5491602,1,3390.67,84.767
c1_2,23.0344967,72.5491602,4,442.69,11.067
c1_17,23.0371946,72.5491602,4,574.41,14.36
c1_16,23.0370148,72.5491602,2,3532.63,88.316
c1_1,23.0343168,72.5491602,3,946.03,23.651
c1_20,23.0377342,72.5491602,1,349.47,8.737
c1_0,23.0341369,72.5491602,4,619.88,15.497
c1_25,23.0386335,72.5491602,1,17.18,0.43
c1_24,23.0384537,72.5491602,1,13.68,0.342
c2_3,23.0346765,72.5493556,1,7637.77,190.944
c2_4,23.0348564,72.5493556,7,1335.44,33.386
c2_12,23.0362953,72.5493556,2,11788.36,294.709
c2_6,23.0352161,72.5493556,4,3094.85,77.371
c2_11,23.0361154,72.5493556,6,1559.3,38.983
c2_17,23.0371946,72.5493556,3,496.2,12.405
c2_9,23.0357557,72.5493556,7,1267.25,31.681
c2_7,23.035396,72.5493556,10,401.75,10.044
c2_5,23.0350363,72.5493556,7,1938.36,48.459
c2_16,23.0370148,72.5493556,4,24.36,0.609
c2_10,23.0359356,72.5493556,7,4903.88,122.597
c2_1,23.0343168,72.5493556,2,1742.12,43.553
c2_13,23.0364752,72.5493556,5,2939.76,73.494
c2_0,23.0341369,72.5493556,3,803.39,20.085
c2_25,23.0386335,72.5493556,2,5363.96,134.099
c2_24,23.0384537,72.5493556,2,303.99,7.6
c2_26,23.0388134,72.5493556,2,984.2,24.605
c2_23,23.0382738,72.5493556,3,627.09,15.677
c2_20,23.0377342,72.5493556,2,720.28,18.007
c2_21,23.0379141,72.5493556,1,0.06,0.001
c2_18,23.0373745,72.5493556,4,1605.16,40.129
c2_19,23.0375544,72.5493556,2,161.02,4.026
c2_15,23.0368349,72.5493556,1,159.66,3.992
c2_8,23.0355758,72.5493556,5,223.83,5.596
c2_22,23.0380939,72.5493556,3,1852.15,46.304
c2_2,23.0344967,72.5493556,1,892.69,22.317
c3_18,23.0373745,72.5495511,1,193.4,4.835
c3_22,23.0380939,72.5495511,3,287.53,7.188
c3_8,23.0355758,72.5495511,7,3527.65,88.191
c3_14,23.036655,72.5495511,4,217.62,5.441
c3_19,23.0375544,72.5495511,5,1671.19,41.78
c3_9,23.0357557,72.5495511,5,2705.37,67.634
c3_4,23.0348564,72.5495511,6,1076.68,26.917
c3_2,23.0344967,72.5495511,3,188.72,4.718
c3_13,23.0364752,72.5495511,6,304.98,7.624
c3_16,23.0370148,72.5495511,7,907.29,22.682
c3_17,23.0371946,72.5495511,9,933.71,23.343
c3_15,23.0368349,72.5495511,4,1585.35,39.634
c3_0,23.0341369,72.5495511,2,136.68,3.417
